Index,Churn_Prob_Before,Churn_Prob_After,Delta,Improvement Suggestion
0.0,0.0064,0.0064,0.0,No change required
1.0,0.9835,0.000699999975040555,0.9829,"Total day minutes: 129.10 → 219.40, Total day charge: 21.95 → 56.71"
2.0,0.9987,0.021199999377131462,0.9776,"State: 34.00 → 14.00, Total day minutes: 332.90 → 184.80"
3.0,0.0028,0.0028,0.0,No change required
4.0,0.0029,0.0029,0.0,No change required
5.0,0.0056,0.0056,0.0,No change required
6.0,0.0002,0.0002,0.0,No change required
7.0,0.1984,0.1984,0.0,No change required
8.0,0.0021,0.0021,0.0,No change required
9.0,0.0031,0.0031,0.0,No change required
10.0,0.0126,0.0126,0.0,No change required
11.0,0.003,0.003,0.0,No change required
12.0,0.0025,0.0025,0.0,No change required
13.0,0.0017,0.0017,0.0,No change required
14.0,0.0026,0.0026,0.0,No change required
15.0,0.0127,0.0127,0.0,No change required
16.0,0.0173,0.0173,0.0,No change required
17.0,0.0023,0.0023,0.0,No change required
18.0,0.0005,0.0005,0.0,No change required
19.0,0.0059,0.0059,0.0,No change required
20.0,0.0208,0.0208,0.0,No change required
21.0,0.0039,0.0039,0.0,No change required
22.0,0.0115,0.0115,0.0,No change required
23.0,0.014,0.014,0.0,No change required
24.0,0.0045,0.0045,0.0,No change required
25.0,0.0057,0.0057,0.0,No change required
26.0,0.0004,0.0004,0.0,No change required
27.0,0.001,0.001,0.0,No change required
28.0,0.0413,0.0413,0.0,No change required
29.0,0.0023,0.0023,0.0,No change required
30.0,0.0025,0.0025,0.0,No change required
31.0,0.007,0.007,0.0,No change required
32.0,0.0124,0.0124,0.0,No change required
33.0,0.0118,0.0118,0.0,No change required
34.0,0.3507,0.3507,0.0,No change required
35.0,0.9802,0.02539999969303608,0.9548,Total day minutes: 326.50 → 235.20
36.0,0.0305,0.0305,0.0,No change required
37.0,0.0011,0.0011,0.0,No change required
38.0,0.0022,0.0022,0.0,No change required
39.0,0.009,0.009,0.0,No change required
40.0,0.0012,0.0012,0.0,No change required
41.0,0.9997,0.013500000350177288,0.9862,"Total day minutes: 134.40 → 206.40, Total day calls: 106.00 → 45.00"
42.0,0.0002,0.0002,0.0,No change required
