State,State_shap,International plan,International plan_shap,Voice mail plan,Voice mail plan_shap,Number vmail messages,Number vmail messages_shap,Total day minutes,Total day minutes_shap,Total day calls,Total day calls_shap,Total day charge,Total day charge_shap,Total eve minutes,Total eve minutes_shap,Total eve calls,Total eve calls_shap,Total eve charge,Total eve charge_shap,Total night minutes,Total night minutes_shap,Total night calls,Total night calls_shap,Total night charge,Total night charge_shap,Total intl minutes,Total intl minutes_shap,Total intl calls,Total intl calls_shap,Total intl charge,Total intl charge_shap,Customer service calls,Customer service calls_shap,base_value,shap_sum,prediction_logit,prediction_proba,Churn
18,-0.2879947655741125,0,-0.2698466820083559,0,0.30228077261708675,0,-0.03247680675238371,184.5,-0.8716621257201769,97,-0.1186325518344529,31.37,0.0,351.6,1.0278245871374383,80,-0.13759464006405323,29.89,-0.009068585969507693,215.8,0.062265843921341005,90,-0.2581659693084657,9.71,0.20130460953339935,8.7,0.19571646340671578,4,0.039995459588244554,2.35,0.0,1,-0.179642955805175,-4.702165583070394,-0.33569734683245794,-5.037862929902851,0.006445780334414103,False
15,-0.28364202395314353,0,-0.16212493173778056,0,0.1680565731949173,0,-0.07380524565465749,129.1,2.789957388174953,137,0.6731645765446592,21.95,0.0,228.5,-0.14127528871642425,83,0.051389571342151615,19.42,-0.004368258835747838,208.8,0.19124232337577268,111,0.08320481091737747,9.4,0.055738574964925645,12.7,-0.7193415806686971,6,-0.04890007043723017,3.43,0.0,4,6.211883972829673,-4.702165583070394,8.791180391340749,4.089014808270355,0.9835203948256104,True
34,0.23115096399371396,0,-0.05748713307548314,0,0.8143370731733739,0,-0.012660926026292145,332.9,8.400491959933424,67,-0.07770198596292176,56.59,0.0,317.8,0.8734865373710636,97,-0.042889076330466194,27.01,-0.01366158234886825,160.6,-0.5865505520696752,128,0.7535415017430205,7.23,0.04538692646776326,5.4,-0.36120106000103985,9,-0.8769452955969609,1.46,0.0,4,2.294082684320165,-4.702165583070394,11.383380035590815,6.681214452520421,0.9987473173664387,True
40,0.2354943093971815,0,-0.12243591918144375,0,0.23136479849577882,0,-0.09866837551351637,110.4,0.11127861261833459,103,0.13018733417149633,18.77,0.0,137.3,-0.5453081931779161,102,-0.12374364894814789,11.67,0.14555482688359916,189.6,-0.1462564168323297,105,-0.31247298368485643,8.53,-0.002391147471498698,7.7,0.15542242103256285,6,0.12684614010853693,2.08,0.0,2,-0.9430206183239352,-4.702165583070394,-1.158148860426154,-5.860314443496548,0.0028422458808067003,False
11,-0.7297443601020496,0,-0.6974457145202905,0,0.17548910755314864,0,-0.010368678392842412,119.3,-0.44702772540971636,117,-0.5386116770835361,20.28,0.0,215.1,0.6533841994521208,109,0.20669731268659233,18.28,-0.01218582984060049,178.7,0.2824130790377967,90,-0.26660836070775984,8.04,0.03081220678985119,11.1,-0.002499153803801164,1,0.5537541664764285,3.0,0.0,1,-0.32802183873951435,-4.702165583070394,-1.1299632666041728,-5.832128849674566,0.0029232584154315453,False
0,-0.7012577542057261,0,-0.7365248095663265,1,-0.30369158709421756,30,0.6504424232523889,146.3,-0.22622546194819734,128,0.6759536802419461,24.87,0.0,162.5,-0.7185027918568813,80,0.5800891949608922,13.81,-0.006665324391797185,129.3,0.021778575740754605,109,0.11428314150776714,5.82,0.2790805805986747,14.5,0.49106130984611807,6,0.24880145143717528,3.92,0.0,0,-0.8463788118516095,-4.702165583070394,-0.4777561833290386,-5.179921766399432,0.005596944626149719,False
22,0.13090298197465017,0,-0.7546237931959331,0,0.21249032529070974,0,-0.194159824103117,211.3,-0.20442275291308762,120,-0.07950058887829073,35.92,0.0,162.6,-2.111207403091248,122,-0.17052448353730143,13.82,0.02462584770284593,134.7,-0.8074558173213154,118,0.55041816058103,6.06,0.08554004647070541,13.2,0.1425427272618981,5,-0.08218005095841363,3.56,0.0,3,-0.40403604246675967,-4.702165583070394,-3.6615906671836274,-8.36375625025402,0.0002331124996219206,False
13,-0.7662993201715289,0,-0.18340346527285875,0,0.1768649747222662,0,-0.03633304751478136,159.1,-0.5972776318737306,114,-0.06427621547831222,27.05,0.0,231.3,-1.7485211576940491,117,0.17902366658672692,19.66,-0.005488258199766278,143.2,0.2186537879554089,91,-0.4263534032116877,6.44,0.2037215690035373,8.8,0.08555227319709957,3,0.28274236923782153,2.38,0.0,5,5.987245760632213,-4.702165583070394,3.3058519019183583,-1.3963136811520354,0.1984017262501562,True
45,0.3386642127530649,0,-0.12184634039178491,0,0.3667767004261259,0,-0.04661224008537829,186.1,-0.7354736421722918,112,-0.9086373381945304,31.64,0.0,190.2,-0.05792156718438491,66,-0.0608701119502075,16.17,-0.003065757555887103,282.8,0.8099629201291827,57,-0.5276333842542954,12.73,0.0467852196842432,11.4,-0.03236878744093701,6,-0.0558038410381414,3.08,0.0,2,-0.4911959967226721,-4.702165583070394,-1.479239953997894,-6.181405537068287,0.0020632540170799343,False
48,-0.32691975644935156,0,-0.2032563169579953,0,0.21323800195008516,0,-0.08741381790488958,148.8,-1.1125907172821463,70,-0.1665140933636576,25.3,0.0,246.5,1.026276039557997,164,-0.06685308906948194,20.95,-0.006295462865382433,129.8,-0.37805990797118283,103,-0.029288152805529533,5.84,0.18871884907246567,12.1,0.2602731339703314,3,0.09342370117548854,3.27,0.0,3,-0.4853776122094132,-4.702165583070394,-1.0806392011526627,-5.782804784223057,0.003070606699538546,False
23,0.4449635791694163,0,-0.7327188563067466,1,-0.44753626779653133,33,0.9997439704136923,193.7,-0.5318236464890651,91,-0.13240782959968783,32.93,0.0,246.1,1.552496443183627,96,-0.7262836997536942,20.92,-0.01218582984060049,138.0,-1.067804658395471,92,-0.29961819502757864,6.21,0.2621109753381461,14.6,1.050717105254298,3,0.17498361563775688,3.94,0.0,2,-0.19711995498277246,-4.702165583070394,0.33751675080478893,-4.364648832265605,0.012559376704782346,False
11,-0.5115531200752593,0,-0.23013547919690608,0,0.3468560831155628,0,0.04494783368892968,235.8,1.4984898597048595,109,-0.24565683657710907,40.09,0.0,157.2,-1.8864386246632785,94,-0.3639222947944654,13.36,-0.006665324391797185,188.2,0.20470050076488405,99,-0.2829399760719389,8.47,-0.05983446715399623,12.0,-0.20768423697445543,3,0.19648951483191923,3.24,0.0,0,0.3913872794364579,-4.702165583070394,-1.1119592883565927,-5.814124871426986,0.002976207272522425,False
23,0.09423445033840835,0,-0.07855850751046091,0,0.2701566726155579,0,-0.11964825116097927,214.1,-0.3028289610333741,72,0.012554330709390342,36.4,0.0,164.4,-1.3327208991441877,104,-0.1480192632949911,13.97,0.02234436753205955,177.5,0.24361978225875647,113,0.14532230951124803,7.99,0.21824290268530602,8.2,0.13378100404981524,3,0.16545514460653066,2.21,0.0,2,-0.6048179248720408,-4.702165583070394,-1.280882842708961,-5.983048425779355,0.0025147889834383316,False
46,0.01777394315111451,0,-0.05048866806551814,1,-0.9965748259529937,29,-0.13569896211964078,179.3,-0.6968627388356253,104,-0.225099715674296,30.48,0.0,225.9,0.38972325980197636,86,-0.2931374601670541,19.2,-0.003480572132393718,323.0,0.5062576218508184,78,0.3103238308709115,14.54,0.027372151971794666,8.6,0.12662928444100544,7,-0.2735749377240427,2.32,0.0,0,-0.37751931734848765,-4.702165583070394,-1.6743571059324307,-6.376522689002824,0.001698139105029925,False
18,-0.2389497572532855,0,-0.03564856976270676,0,0.1773184019664768,0,0.030402830727398397,203.4,-1.4433000977290795,100,0.27899371009552854,34.58,0.0,190.9,0.4016470639203908,104,-0.2747674835473299,16.23,-0.04368795163929463,196.0,-0.22732873914763332,119,0.2969044844061136,8.82,-0.07864374375902117,8.9,-0.3906007148232311,4,0.0900331941130571,2.4,0.0,0,0.21749802694190293,-4.702165583070394,-1.2401293454907139,-5.9422949285611075,0.00261911846147003,True
26,0.5117646553716623,0,-0.12794219059869646,0,0.23986220604390837,0,0.06824479198548943,160.1,-0.7235534230316989,110,-0.5081540179252625,27.22,0.0,213.3,0.6164196880580858,72,1.0276746896281839,18.13,-0.008535461574792862,174.1,0.5339045171975159,72,-0.7591596650204155,7.83,-0.11344468000810594,13.0,-0.3156079480785411,4,-0.05836042743641883,3.51,0.0,0,-0.03442974067060277,-4.702165583070394,0.3486829939403107,-4.353482589130083,0.01269861281727842,False
13,-0.5898572095693089,0,-0.18374627089127898,0,0.7514004921820014,0,-0.0921433831565082,251.8,2.2010941700916735,72,-0.9333644798403838,42.81,0.0,205.7,0.11357266181497834,126,0.006927384884329512,17.48,0.0024097948428243397,275.2,1.2806911931966898,109,-0.5191652923054062,12.38,-0.17144962111953646,9.8,-0.6010019155067857,7,-0.1756157206441276,2.65,0.0,2,-0.42758088671369476,-4.702165583070394,0.6621709172654664,-4.039994665804928,0.017293247220000946,True
19,0.03378637645626441,0,-0.7334420086909086,0,0.16031564910896123,0,-0.06572967289946974,178.3,-0.44868569663725794,137,0.08250990622444078,30.31,0.0,189.0,-0.19936062718508765,76,-0.05862814107676968,16.07,-0.007208054922521114,129.1,-0.6858609717525542,102,0.06259011132176966,5.81,0.1703687810525298,14.6,0.5624156667100033,5,-0.17638567816931755,3.94,0.0,0,-0.08565803080797195,-4.702165583070394,-1.3889723912678893,-6.091137974338283,0.002257723553866553,False
17,-0.5662109688762575,0,-0.18657702583819627,0,0.230098996196175,0,-0.0352815933059901,135.0,-0.9015324728703127,99,0.14734782238083427,22.95,0.0,183.6,0.37445485619129615,106,0.09038251955993473,15.61,-0.0007842773851007224,245.3,0.3859381258231588,102,-0.5776500894408673,11.04,-0.22397396510932593,12.5,0.11017363945487886,9,-1.3202414409373886,3.38,0.0,1,-0.3960734942567069,-4.702165583070394,-2.8699293684138683,-7.572094951484262,0.0005143485382410557,False
22,0.41992428628262135,0,-0.10017734857508913,1,-3.7515804337663576,29,0.33933617659611626,281.4,3.4399256704642904,102,-0.003927744647953659,47.84,0.0,202.2,0.023370300387614406,76,0.29881710711400955,17.19,-0.01406518453732133,187.2,-0.1078578250168357,113,0.10286238754633814,8.42,-0.12927665217313916,9.0,-0.5098076579347253,6,-0.08202784205554053,2.43,0.0,2,-0.3487687750160694,-4.702165583070394,-0.42325353533204163,-5.125419118402435,0.005908606572743178,False
5,0.6397413166516344,0,-0.6640636533824726,1,-0.30853092105709945,32,0.7364170422125608,148.6,-0.2689131238986738,91,-0.0102584936626954,25.26,0.0,131.1,-0.10124527031090111,97,-0.11877366536937188,11.14,0.1845615500677377,219.4,-0.3812496423907578,142,0.7136879417789168,9.87,-0.08022306087892503,10.1,0.5569290841370821,1,0.36994705894729124,2.73,0.0,1,-0.4192816850938834,-4.702165583070394,0.8487444777504425,-3.853421105319951,0.02076666077199586,False
3,0.44967071985360235,0,-0.1529309674911201,0,0.19431017427355982,0,-0.1475521202175878,58.9,-0.8941386583424173,125,0.4292725775198778,10.01,0.0,169.6,0.035386158195324244,59,0.2210686306055868,14.42,0.00025245191529393195,211.4,-0.061888570203445854,88,-0.6024674693238922,9.51,0.2563999097421765,9.4,-0.19324598889099434,3,0.10466550251003355,2.54,0.0,1,-0.48306516537908467,-4.702165583070394,-0.8442628152330872,-5.5464283983034806,0.0038862050066778226,False
